Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes       

"1","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Super","AUD",,,,,,,,,,
"2","IXJ.AX","Isglhltca Etf Units [ixj]",,"ASX","Aus Super","AUD","400","129.81","0","2025-07-16 GMT+1000","14:35:00",,"Buy",,,
       
"3","WHC.AX","Whitehaven Fpo [whc]",,"ASX","Aus Super","AUD",,,,,,,,,,
"4","WHC.AX","Whitehaven Fpo [whc]",,"ASX","Aus Super","AUD","4200","6","0","2025-07-16 GMT+1000","10:00:00",,"Buy",,,
       
"5","CSL.AX","Csl Fpo [csl]",,"ASX","Aus Super","AUD",,,,,,,,,,
"6","CSL.AX","Csl Fpo [csl]",,"ASX","Aus Super","AUD","220","227.5","0","2025-08-21 GMT+1000","02:52:00",,"Buy",,,
       
"7","DRO.AX","Drone Fpo [dro]",,"ASX","Aus Super","AUD",,,,,,,,,,
"8","DRO.AX","Drone Fpo [dro]",,"ASX","Aus Super","AUD","5000","3.163","0","2025-09-15 GMT+1000","12:41:00",,"Buy",,,
       
"9","PWH.AX","Pwr Hlding Fpo [pwh]",,"ASX","Aus Super","AUD",,,,,,,,,,
"10","PWH.AX","Pwr Hlding Fpo [pwh]",,"ASX","Aus Super","AUD","3200","8","0","2025-09-15 GMT+1000","16:43:00",,"Buy",,,
       
"11","AUD=CASH",,,,"Aus Super","AUD",,,,,,,,,,
"12","AUD=CASH",,,,"Aus Super","AUD","150000","1","0","2025-08-01 GMT+1000","09:50:00",,"Buy",,,
"13","AUD=CASH",,,,"Aus Super","AUD","10000","1","0","2025-08-01 GMT+1000","09:51:00",,"Buy",,,
"14","AUD=CASH",,,,"Aus Super","AUD","5787","1","0","2025-10-23 GMT+1100","15:45:00",,"Buy",,,
"15","AUD=CASH",,,,"Aus Super","AUD","47991","1","0","2025-10-23 GMT+1100","15:46:00",,"Sell",,,
       
"16","USDAUD=X","USD/AUD",,"CCY","Aus Super","AUD",,,,,,,,,,
       
"17","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Super","AUD",,,,,,,,,,
"18","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Super","AUD","1000","21.95","0","2025-09-24 GMT+1000","11:13:00",,"Buy",,,
       
"19","IPH.AX","Iphlimited Fpo [iph]",,"ASX","Aus Super","AUD",,,,,,,,,,
"20","IPH.AX","Iphlimited Fpo [iph]",,"ASX","Aus Super","AUD","7000","3.5","0","2025-10-20 GMT+1100","15:47:00",,"Buy",,,
       
"21","IJP.AX","Ishmsjap Etf Units [ijp]",,"ASX","Aus Super","AUD",,,,,,,,,,
"22","IJP.AX","Ishmsjap Etf Units [ijp]",,"ASX","Aus Super","AUD","200","126","0","2025-10-23 GMT+1100","14:43:00",,"Buy",,,
       
"23","AUDUSD=X","AUD/USD",,"CCY","Aus Stocks","USD",,,,,,,,,,
       
"24","USDAUD=X","USD/AUD",,"CCY","Aus Stocks","AUD",,,,,,,,,,
       
"25","XAUUSD=X","XAU/USD",,"CCY","Aus Stocks","USD",,,,,,,,,,
       
"26","XAGUSD=X","XAG/USD",,"CCY","Aus Stocks","USD",,,,,,,,,,
       
"27","DRO.AX","Drone Fpo [dro]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"28","DRO.AX","Drone Fpo [dro]",,"ASX","Aus Stocks","AUD","30000","0.69","0","2024-03-13 GMT+1100","11:23:00",,"Buy",,,
"29","DRO.AX","Drone Fpo [dro]",,"ASX","Aus Stocks","AUD","20000","0.79","0","2024-04-29 GMT+1000","11:30:00",,"Buy",,,
"30","DRO.AX","Drone Fpo [dro]",,"ASX","Aus Stocks","AUD","10000","1.1379","0","2024-08-02 GMT+1000","15:21:00",,"Buy",,,
       
"31","EVT.AX","Evtltd Fpo [evt]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"32","RMD.AX","Resmed Cdi 10:1 [rmd]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"33","RMD.AX","Resmed Cdi 10:1 [rmd]",,"ASX","Aus Stocks","AUD","500","28.4","0","2024-01-25 GMT+1100","12:51:00",,"Buy",,,
"34","RMD.AX","Resmed Cdi 10:1 [rmd]",,"ASX","Aus Stocks","AUD","1000","28.15","0","2024-02-12 GMT+1100","14:40:00",,"Buy",,,
"35","RMD.AX","Resmed Cdi 10:1 [rmd]",,"ASX","Aus Stocks","AUD","500","27.9","0","2024-02-27 GMT+1100","14:16:00",,"Buy",,,
"36","RMD.AX","Resmed Cdi 10:1 [rmd]",,"ASX","Aus Stocks","AUD","1000","27.38","0","2024-04-18 GMT+1000","12:10:00",,"Buy",,,
       
"37","LYC.AX","Lynas Fpo [lyc]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"38","APE.AX","Eagers Fpo [ape]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"39","NUC.AX","Nuchev Fpo [nuc]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"40","KSL.AX","Kina Fpo [ksl]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"41","ALD.AX","Ampol Fpo [ald]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"42","BKW.AX","Brickworks Fpo [bkw]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"43","JBH.AX","Jb Hi-fi Fpo [jbh]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"44","FMG.AX","Fortescue Fpo [fmg]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"45","FMG.AX","Fortescue Fpo [fmg]",,"ASX","Aus Stocks","AUD","2000","10.9","0","2020-02-27 GMT+1100","00:00:00","0","Buy",,,
"46","FMG.AX","Fortescue Fpo [fmg]",,"ASX","Aus Stocks","AUD","1000","8.6","0","2020-03-09 GMT+1100","00:00:00","0","Buy",,,
"47","FMG.AX","Fortescue Fpo [fmg]",,"ASX","Aus Stocks","AUD","800","13.785","0","2020-06-28 GMT+1000","17:00:00","0","Buy",,,
"48","FMG.AX","Fortescue Fpo [fmg]",,"ASX","Aus Stocks","AUD","200","15.4","0","2021-09-23 GMT+1000","12:39:00",,"Buy",,,
"49","FMG.AX","Fortescue Fpo [fmg]",,"ASX","Aus Stocks","AUD","200","14.4","0","2021-10-15 GMT+1100","09:43:00",,"Buy",,,
"50","FMG.AX","Fortescue Fpo [fmg]",,"ASX","Aus Stocks","AUD","500","22","0","2024-06-18 GMT+1000","22:02:00",,"Buy",,,
       
"51","RIO.AX","Rio Tinto Fpo [rio]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"52","RIO.AX","Rio Tinto Fpo [rio]",,"ASX","Aus Stocks","AUD","120","80","0","2020-03-18 GMT+1100","18:00:00","0","Buy",,,
"53","RIO.AX","Rio Tinto Fpo [rio]",,"ASX","Aus Stocks","AUD","240","76.6","0","2020-03-23 GMT+1100","18:00:00","0","Buy",,,
"54","RIO.AX","Rio Tinto Fpo [rio]",,"ASX","Aus Stocks","AUD","100","97","0","2020-06-28 GMT+1000","17:00:00","0","Buy",,,
"55","RIO.AX","Rio Tinto Fpo [rio]",,"ASX","Aus Stocks","AUD","140","111.11","0","2021-08-26 GMT+1000","08:58:00",,"Buy",,,
